序号,部门,工具,功能介绍,受众部门,权限申请指南,访问链接
1,MSC-Logistic,SCT (Service Control Tower),Service Control Tower，全链路端到端一体化管理，从工厂成品产出、调拨、客户配送、多方参与(亿滋、三方仓库、三方承运商)的集成智能管理系统。,供应链工厂成品，供应链物流，三方仓库，三方承运商,向Logistics Digital Supervisor申请,https://sct.emdlz.com.cn/
2,MSC-Logistic,SAP Log,物流主要使用SAP的SD(Sales and Distribution)模块和MM(Material Management)模块里的功能。SD模块主要负责从客户下单、发货到收款的全过程管理，确保销售业务顺畅运行；而MM模块负责从采购申请、供应商管理、收货到库存控制的全流程，保障企业物料供应和库存准确，是企业运营中最基础、最关键的两个模块。,供应链物流,由Logistics Digital Supervisor指导申请,
3,MSC-Logistic,CMS,Copacking Management System，OSFC(One-Stop Fulfillment Center)使用的翻包管理系统，管理整个翻包中心的日常运作，包括半品包材的入库，成品产出等。,供应链 OSFC，翻包供应商,向Logistics Digital Supervisor申请,https://osfc-cms.emdlz.com.cn/
4,MSC-CSO,SAP OTC (Order to Cash),OTC (Order to Cash)是管理“从客户下订单开始，直到公司收到货款”全过程的模块集合。核心目标是高效、准确地完成销售并回笼资金。,Global SAP OTC,https://mdlz.service-now.com/,
5,MSC-CSO,Kunlun昆仑系统,从订单到收款的全新一体化操作平台，涵盖客户下单&订单查询、配额设置&调整、主数据设置&调整、财务对账、订单处理&分配、DN查询等功能。,客户下单&订单查询—经销商&销售&供应链计划；配额设置&调整—销售TPM；主数据设置&调整—MXM；财务对账—OTC BTC&销售&财务；订单处理&分配—OTB OTB & Accenture FO；DN查询—供应链物流,如需申请权限请联系 APPL1.ChinaSupport@mdlz.com,kunlun.emdlz.com.cn
6,MSC-CSO,VIP Portal,是一款专为经销商设计的自助式供应链协同微信小程序。该工具集成：订单状态查询；投诉建议；KPI查询；财务账款查询。,销售，供应链,如需申请权限请联系 APPL1.ChinaSupport@mdlz.com,
7,Finance,TPM (Trade Planning Management),全面促销费用投资管理平台，整合年度预算、Working-T档期、经销商返利及客户合同管理。一站式完成预算编制、费用审批、协议签订和效果核销，让促销投入全周期可视、可控、可追踪。,销售，商业财务，电商财务,在TPM系统自助申请权限并完成审批，可参考帮助文档《权限管理操作手册》，有关TPM的任何问题，联系China Support，邮箱：APPL1.ChinaSupport@mdlz.com,https://tpm.emdlz.com.cn/Index.html
8,Finance,Databank TPM Report,促销财务数据中台，自动汇总、清洗并生成“毛利到净额 (GTN)”多维报告，一站式呈现销售额扣除促销、返利、折扣后的真实净利，为复盘与决策提供数字看板。,商业财务，电商财务,财务同事发起申请，提供工号，姓名，邮箱地址等信息给到China Support，邮箱：APPL1.ChinaSupport@mdlz.com,https://datavcluster.emdlz.com.cn/jssfplus/?file=/TPM/Public/TPMReports
9,Finance,Smart Investment,采用PBI技术的新兴智能投资平台，集成“宏观视角-事业部/渠道-城市-客户-投资”多维仪表盘，打通业务与财务数据，一键洞察投资效率，优化决策。,主要面向大中华区管理团队，包括销售、商业财务、品类财务、人力资源、市场等部门,联系APPL1.ChinaSupport@mdlz.com获得最新版权限申请表，与BU Finance确认权限申请范围后获得直线经理和BU Finance审批，提交China Support后，系统报告负责人审批通过后即可开通。,https://smartinvestment.emdlz.com.cn/Index.html
10,Finance,E-Agreement,与客户在线签署协议并同步完成费用核销、合同归档的一体化平台。,销售，商业财务，电商财务,"销售员工入职之后会自动赋予EA系统的权限，三方员工开通需要联系Ben,Yue <Yue.Ben@mdlz.com>。",https://ea.emdlz.com.cn/local/ch/index.html
11,Finance,Concur报销系统,整合“差旅 + 费用”一体化的功能系统，实现差旅申请、预订、报销、审批、合规检查全流程数字化。,所有亿滋正式员工,账户：员工号@Mondelez，初始密码：Welcome；无公司电脑员工需联系部门助理获取模板《员工报销账号申请-中文表》进行操作。若对于报销有疑问，请联系您身边的财务团队同事，或者联系Concur管理客服，邮箱：Expense@mdlz.com,https://us2.concursolutions.com/home.asp
12,Marketing,Social Management Platform,社媒管理平台，社媒营销活动策划/运营/追踪管理/风险管理，驱动社媒营销数据洞察与效度提升。,市场,"Step 1 - Line manager邮件审批，包含部门+所需权限
Step 2 - 将Line manager审批邮件转发给Peggy.du@mdlz.com
不同部门的权限不同且涉及审批流，邮件请写明自己部门 - 品牌 - 产品线，如有必要可以说明自己需要与谁相同的权限 (如自己的部门某同事)",https://socialmgt.emdlz.com.cn/login
13,Marketing,EC Navigator,五大电商平台的业绩集成看板，可以进一步分析运营指标，如流量、转化、客单价、复购、履约等，快速定位短板并采取优化行动。,销售，市场,"系统部署在PowerBI上，权限统一配置，无需登录直接可用。
如发现无权限，可申请
Step 1 - Line manager邮件审批，包含部门+所需权限
Step 2 - 将Line manager审批邮件转发给对应业务对接人
EC 对接人edward.yu@mdlz.com
EC 以外对接人Peggy.du@mdlz.com",https://app.powerbi.com/groups/me/apps/ba712e9d-03cd-4d82-a4f2-6858eeee7705/reports/5128cc9c-04c3-4717-b12f-0ed138e24a7d/e08d578d5a8d1c850c70?ctid=18a01ad8-9727-498a-a47d-17374c6fd9f7&experience=power-bi&language=en-US
14,People Team,员工中心 (Employee Center),一站式自助查询平台，可搜索公司政策、学习与发展、工资发放、招聘、入职、在职证明等信息。,所有亿滋正式员工,"登录名及密码： 配备公司电脑的员工，登录名是公司邮箱，密码是开机密码；
不配备公司电脑的员工，登录名是LAN-ID@MDLZ.com；密码是LAN-ID",https://mdlz.service-now.com/hrportal
15,People Team,Workday,"管理个人信息及工作记录的平台，支持查看/更新个人信息、组织架构、绩效管理、申请内部职位、进入培训平台等。
1) 作为员工：可修改个人数据、管理个人目标、完成绩效回顾、进行课程学习等。
2) 作为经理：可查看下属信息、发起和审批下属工作变动流程等。",所有亿滋正式员工,"登录名及密码： 配备公司电脑的员工，登录名是公司邮箱，密码是开机密码；
不配备公司电脑的员工，登录名是LAN-ID@MDLZ.com；密码是LAN-ID",https://wd3.myworkday.com/mdlz/d/home.htmld
16,People Team,One Portal,集成多个系统的统一入口，包括：报销系统(Concur)、销售数据平台(SFA和ATOM销售系统等)、工资查询、请假与假期查询(ESS平台)等。,所有亿滋正式员工,"One Portal用户名：若您拥有亿滋邮箱，请使用您的LAN ID登录；若您没有亿滋邮箱，请使用员工号(数字)登陆。
One Portal密码：您的公司邮箱会收到One Portal初始密码(发件邮箱：sso01@emdlzcn.com)。
如在登录过程中遇到问题，请联系热线4008105900或邮箱
APPL1.ChinaSupport@mdlz.com寻求帮助。",https://www.emdlz.com.cn/OnePortal.aspx
17,People Team,Jobs@MDLZ,内部职位发布平台，支持员工查看全球范围内空缺职位，也供经理发布岗位。候选人资格等细节参考《员工推荐计划政策》及MDLZ Magnet推荐计划。,所有亿滋正式员工,"登录名及密码： 配备公司电脑的员工，登录名是公司邮箱，密码是开机密码；
不配备公司电脑的员工，登录名是LAN-ID@MDLZ.com；密码是LAN-ID",https://wd3.myworkday.com/mdlz/d/task/1422$133.htmld
18,People Team,WeCom Together 亿站通,“亿站通”整合了多个亿滋全球和中国的人力资源信息和服务系统，致力于为亿滋中国员工提供一个方便、高效、友善的员工体验平台。员工可以通过企业微信，在全新的“亿站通”平台中一键登录新的员工自助服务模块，包括工资单查询、休假申请/审批、健康和福祉。我们还整合了全球员工中心和Workday的入口，更加方便员工进行登录操作。员工还可以在“亿站通”上找到多元包容平等，以及成长每一天学习资源等其他的板块。,所有亿滋正式员工,"登录名及密码： 配备公司电脑的员工，登录名是公司邮箱，密码是开机密码；
不配备公司电脑的员工，登录名是LAN-ID@MDLZ.com；密码是LAN-ID","进入“企业微信”APP，注册成为“亿滋企微”成员
选择企业微信“工作台”模块-点击“ 亿站通WeCom Together”进入页面"
19,Sales,SFA,销售自动化系统，通过SFA系统实现销售团队管理、终端门店运营、订单接受等销售流程数字化，核心价值在于提升销售效率、强化终端动销能力。,所有销售员工,邮件发送至APPL1.ChinaSupport@mdlz.com进行说明申请,小程序，从‘慧亿滋’进入
20,Sales,iSmart,销售一站式报告平台 (涵盖SAP、鹰眼、黄金眼、SFA等数据)。,所有销售员工，经销商DOM/DSS/DSF，部分供应链、财务员、市场员工,邮件发送至APPL1.ChinaSupport@mdlz.com进行说明申请,请通过https://www.emdlz.com.cn/OnePortal.aspx点击iSmart图标进行登录；手机端报告请通过企微“慧亿滋”中“BI报告”模块访问
21,Sales,慧眼,整合地理信息系统、商圈人流热力和消费画像数据的选址决策平台，评估门店开发潜力值，识别高潜力/空白门店，开拓生意疆土。,销售RTM，销售TMP，销售MXM及以上管理人员,邮件发送至APPL1.ChinaSupport@mdlz.com进行说明申请,https://salesdatahub.emdlz.com.cn/SFDashboard/ReportDispatcher?reportCode=DHBD_BI_DTRM_MAP_TOOL
22,Sales,收货扫码系统,经销商客户关系管理系统，帮助经销商完成仓库收货、货品流转信息记录。,销售RTM，经销商,邮件发送至APPL1.ChinaSupport@mdlz.com进行说明申请,
23,Sales,亿起积,批发客户关系管理系统，通过周期性的营销活动和多元化的积分体系，针对性激励批发商进货， 并搭建积分商城，帮助其核销积分。,销售RTM， 批发,邮件发送至APPL1.ChinaSupport@mdlz.com进行说明申请,
24,Sales,亿店宝,小店店主客户关系管理系统，通过搭建扫码平台和任务平台，帮助监控小店货物流向，并利用小店店主的力量实现深度分销和陈列。,销售RTM， 小店店主,邮件发送至APPL1.ChinaSupport@mdlz.com进行说明申请,
25,Sales,亿先锋,共享业代管理平台，通过搭建灵活的移动终端和复杂的财税架构，激励经销商自有业代帮助品牌完成深度分销和陈列任务，提升TDP和5P陈列。,销售RTM， 经销商，经销商自有业代,邮件发送至APPL1.ChinaSupport@mdlz.com进行说明申请,
26,Sales,慧亿滋,销售手机端线上平台，涵盖销售部培训、销售信息推广、报告、奖金、SFA、完美大本营等功能。根据平台不同的模块会有对应的人员进行管理。,所有销售员工,销售部员工：微信绑定的手机号、Atom中维护的手机号及企微中的手机号三者都需一致，如有登录问题发送邮件至APPL1.ChinaSupport@mdlz.com，并提供员工号、姓名、手机号、问题描述。,
27,Sales,ATOM,销售部主数据平台，涵盖客户申请、门店创建及管理、经销商人员入离职及销售部各类主数据查询导出等功能。,所有销售员工,人员入职后由对应部门助理挂接销售部架构后权限自动带出，如有额外需要开通的权限请邮件发送至APPL1.ChinaSupport@mdlz.com进行说明申请,请通过https://www.emdlz.com.cn/OnePortal.aspx点击ATOM图标进行登录；手机链接请参考ATOM电脑端员工帮助文档操作
